iter	Logloss
0	0.6818852385
1	0.6719533851
2	0.6624895959
3	0.6528522482
4	0.644430106
5	0.6359674708
6	0.6282535728
7	0.6191688815
8	0.6123788164
9	0.6041554153
10	0.5967267422
11	0.5904293919
12	0.5844115324
13	0.5780869306
14	0.5728684691
15	0.5674917004
16	0.5622926283
17	0.5571734782
18	0.5530226737
19	0.5491795574
20	0.5455507292
21	0.5416370309
22	0.5379072951
23	0.5342357866
24	0.5308103695
25	0.527326607
26	0.5243248004
27	0.5213837039
28	0.5180400414
29	0.5154756782
30	0.5126091835
31	0.5102606452
32	0.5073741109
33	0.5050945587
34	0.503161296
35	0.5008309057
36	0.498557324
37	0.496765521
38	0.49486483
39	0.4933951389
40	0.4914301025
41	0.4896892852
42	0.4877226823
43	0.4858754599
44	0.4841616873
45	0.4823338839
46	0.4808998089
47	0.4795086212
48	0.4782139369
49	0.4768353404
50	0.47531023
51	0.4738066666
52	0.4723284927
53	0.4709509307
54	0.4698805543
55	0.4688564347
56	0.4678168271
57	0.4667537514
58	0.4658508153
59	0.4650413088
60	0.4642173786
61	0.4633310831
62	0.4627149974
63	0.461833904
64	0.461091078
65	0.460476825
66	0.4597369843
67	0.458722914
68	0.4578423525
69	0.4570431319
70	0.4562090636
71	0.4556583876
72	0.4549169804
73	0.4539934726
74	0.4532941841
75	0.4527131826
76	0.4521604376
77	0.4514601146
78	0.4507176729
79	0.4500211037
80	0.4494618857
81	0.4487463113
82	0.4481149447
83	0.4473051722
84	0.4467925065
85	0.4463037819
86	0.4456062372
87	0.4449448112
88	0.4444523329
89	0.4437678229
90	0.4431092048
91	0.4426388941
92	0.4421633224
93	0.4415735425
94	0.4410920002
95	0.4404442295
96	0.4399161055
97	0.4393844641
98	0.4387064271
99	0.4381970717
100	0.4376941893
101	0.4372150707
102	0.4365936944
103	0.4360249887
104	0.4356286296
105	0.4352526649
106	0.4347887681
107	0.4341874905
108	0.4335299956
109	0.4330152609
110	0.4325269205
111	0.4321581677
112	0.4317049114
113	0.4312336254
114	0.4307966551
115	0.4304113504
116	0.4299536015
117	0.4294777933
118	0.4289721621
119	0.4285749754
120	0.428188311
121	0.4277392223
122	0.4272848134
123	0.4268781685
124	0.4265653375
125	0.426329325
126	0.425919488
127	0.4254375615
128	0.4249122453
129	0.4243140417
130	0.4238256422
131	0.4232247784
132	0.4227400145
133	0.4223285518
134	0.4217819546
135	0.4211587162
136	0.4207792342
137	0.4204864724
138	0.4201238969
139	0.4198454998
140	0.4193635437
141	0.4188539814
142	0.4183167834
143	0.4179382472
144	0.4175771496
145	0.4170561784
146	0.4167359876
147	0.4163530474
148	0.4158647071
149	0.4154112439
150	0.4151418025
151	0.4148058875
152	0.4144066319
153	0.4140819485
154	0.4136541999
155	0.4132049339
156	0.4127006328
157	0.4123532792
158	0.4118382784
159	0.4115038117
160	0.4111261326
161	0.4106576841
162	0.4103735824
163	0.409948494
164	0.4096634761
165	0.4093089697
166	0.408931468
167	0.4085504195
168	0.4082749485
169	0.4079582159
170	0.4074205154
171	0.4068638984
172	0.406515067
173	0.4063042666
174	0.4060793676
175	0.4057147823
176	0.4052854672
177	0.4050115036
178	0.404694771
179	0.4042965794
180	0.4041311786
181	0.4037575193
182	0.4032840756
183	0.4028812732
184	0.4025168357
185	0.4019494008
186	0.4015358692
187	0.4011625646
188	0.4009854887
189	0.4006104107
190	0.4002248695
191	0.3998937427
192	0.3995376107
193	0.3990161665
194	0.3986978083
195	0.3984132042
196	0.3980195052
197	0.397695945
198	0.3974390653
199	0.3972171516
200	0.3969833559
201	0.3966834412
202	0.396179081
203	0.3959155214
204	0.3956162275
205	0.3953725598
206	0.3949681021
207	0.3945659794
208	0.394316755
209	0.3940105152
210	0.3938276166
211	0.3935259877
212	0.3932517876
213	0.3929932232
214	0.3926905006
215	0.3924638873
216	0.3921301595
217	0.3917877715
218	0.391493384
219	0.3911971048
220	0.3908879093
221	0.3906899071
222	0.3904527715
223	0.3901251029
224	0.3898520555
225	0.3895916881
226	0.3892511917
227	0.3889875435
228	0.3886343376
229	0.3882473481
230	0.3879570691
231	0.3877219729
232	0.3873769248
233	0.3870101818
234	0.3866084138
235	0.3862991592
236	0.3860539249
237	0.3857728972
238	0.3853663705
239	0.385036958
240	0.3847648861
241	0.3844301829
242	0.3841527315
243	0.3838238215
244	0.3835780257
245	0.3833412743
246	0.3831278729
247	0.382904038
248	0.3825654628
249	0.3823657759
250	0.3820963345
251	0.3817751092
252	0.3815295499
253	0.3811919501
254	0.3809580657
255	0.3806174807
256	0.3802509742
257	0.3799853457
258	0.3796636771
259	0.3793598314
260	0.379161977
261	0.3790037585
262	0.3787393713
263	0.3784505997
264	0.378128872
265	0.3777546806
266	0.377591467
267	0.3773700557
268	0.3770801018
269	0.3766949448
270	0.376411523
271	0.3761354312
272	0.375834689
273	0.3756005386
274	0.3753085157
275	0.3749796057
276	0.3746141041
277	0.374444388
278	0.3741823358
279	0.3738375832
280	0.3735847233
281	0.3733874896
282	0.3730159584
283	0.3727946949
284	0.3724611148
285	0.3722784527
286	0.3720293465
287	0.3717468114
288	0.3715365726
289	0.3713371813
290	0.3710351385
291	0.3708420723
292	0.3705620496
293	0.3702149324
294	0.3699912157
295	0.3697550554
296	0.3694654562
297	0.3690493235
298	0.3687233987
299	0.3685034357
300	0.3681784567
301	0.3679070941
302	0.3677032397
303	0.3673009397
304	0.3669718523
305	0.3666834058
306	0.3665005959
307	0.3661579714
308	0.3658181844
309	0.3655220826
310	0.3651846011
311	0.3649116424
312	0.364649206
313	0.3644488392
314	0.3641198701
315	0.3637206736
316	0.3634565229
317	0.3631673965
318	0.3628977778
319	0.3626837557
320	0.3624087872
321	0.3621246264
322	0.3619291661
323	0.3615984531
324	0.3612743313
325	0.3609020907
326	0.3606629157
327	0.3604024596
328	0.3601361513
329	0.3598915968
330	0.359686767
331	0.359279531
332	0.3590658045
333	0.3587543035
334	0.3583056286
335	0.3579602849
336	0.3577665093
337	0.3574984276
338	0.3572798833
339	0.3571207485
340	0.356857455
341	0.3566087035
342	0.3564164649
343	0.3562025611
344	0.3558917694
345	0.3555861208
346	0.3553673696
347	0.3551737123
348	0.3548525462
349	0.3545940704
350	0.3543605407
351	0.3540601236
352	0.3537894408
353	0.3535033589
354	0.3532163311
