iter	Passed	Remaining
0	161	161739
1	168	84116
2	175	58304
3	180	44929
4	186	37044
5	192	31934
6	199	28287
7	205	25456
8	211	23245
9	216	21415
10	220	19861
11	225	18578
12	230	17499
13	235	16573
14	239	15725
15	244	15037
16	249	14399
17	253	13806
18	256	13261
19	260	12788
20	265	12362
21	269	11963
22	272	11594
23	276	11254
24	280	10948
25	285	10687
26	289	10419
27	292	10169
28	296	9939
29	300	9720
30	304	9512
31	308	9318
32	311	9137
33	315	8965
34	319	8800
35	323	8652
36	326	8505
37	330	8368
38	334	8253
39	338	8134
40	343	8023
41	346	7911
42	350	7809
43	354	7706
44	358	7613
45	362	7523
46	366	7436
47	370	7350
48	374	7266
49	378	7186
50	382	7113
51	386	7043
52	390	6976
53	394	6914
54	398	6847
55	402	6786
56	406	6729
57	410	6673
58	415	6619
59	419	6567
60	424	6528
61	427	6474
62	431	6422
63	435	6373
64	439	6325
65	443	6281
66	447	6234
67	451	6190
68	456	6156
69	460	6112
70	464	6073
71	468	6037
72	472	6003
73	476	5964
74	480	5924
75	484	5886
76	488	5853
77	492	5819
78	496	5785
79	500	5750
80	504	5720
81	508	5689
82	511	5656
83	515	5623
84	519	5594
85	523	5566
86	527	5535
87	531	5505
88	535	5477
89	539	5450
90	542	5423
91	546	5396
92	550	5369
93	554	5346
94	558	5320
95	562	5294
96	565	5268
97	569	5242
98	573	5220
99	577	5195
100	581	5171
101	585	5151
102	588	5127
103	592	5108
104	596	5085
105	600	5063
106	604	5040
107	607	5019
108	611	4997
109	614	4975
110	619	4957
111	622	4936
112	626	4915
113	629	4894
114	633	4874
115	637	4854
116	640	4835
117	644	4815
118	647	4796
119	651	4779
120	677	4923
121	693	4992
122	711	5070
123	730	5157
124	748	5241
125	763	5295
126	772	5309
127	780	5317
128	787	5316
129	792	5306
130	798	5294
131	802	5276
132	807	5262
133	811	5244
134	815	5227
135	820	5211
136	824	5193
137	828	5176
138	833	5162
139	837	5146
140	841	5127
141	846	5112
142	850	5095
143	854	5076
144	857	5058
145	861	5041
146	865	5024
147	869	5005
148	873	4988
149	877	4970
150	881	4954
151	885	4937
152	888	4919
153	892	4901
154	896	4886
155	900	4869
156	903	4851
157	907	4833
158	911	4820
159	915	4805
160	919	4790
161	923	4776
162	927	4761
163	931	4745
164	935	4732
165	938	4717
166	942	4703
167	947	4690
168	951	4676
169	954	4661
170	958	4647
171	962	4634
172	966	4622
173	970	4608
174	974	4594
175	979	4583
176	982	4570
177	986	4557
178	990	4544
179	995	4533
180	999	4521
181	1003	4510
182	1007	4499
183	1012	4489
184	1016	4477
185	1020	4465
186	1025	4456
187	1029	4447
188	1034	4437
189	1038	4425
190	1042	4414
191	1046	4402
192	1050	4390
193	1054	4379
194	1058	4370
195	1062	4359
196	1067	4349
197	1071	4339
198	1075	4329
199	1080	4321
200	1084	4310
201	1088	4300
202	1093	4292
203	1097	4281
204	1101	4270
205	1105	4260
206	1109	4251
207	1113	4240
208	1117	4230
209	1122	4223
210	1126	4213
211	1130	4203
212	1135	4193
213	1139	4184
214	1143	4175
215	1147	4166
216	1151	4155
217	1155	4145
218	1159	4135
219	1163	4125
220	1167	4116
221	1171	4107
222	1175	4097
223	1179	4087
224	1184	4078
225	1188	4071
226	1193	4062
227	1196	4052
228	1201	4043
229	1205	4036
230	1209	4026
231	1213	4017
232	1218	4009
233	1222	4002
234	1228	3997
235	1232	3989
236	1236	3981
237	1240	3973
238	1245	3965
239	1249	3955
240	1253	3948
241	1257	3939
242	1262	3931
243	1265	3921
244	1269	3913
245	1273	3904
246	1278	3896
247	1282	3887
248	1286	3880
249	1290	3871
250	1294	3863
251	1298	3854
252	1302	3846
253	1306	3838
254	1310	3830
255	1314	3820
256	1318	3813
257	1323	3805
258	1327	3797
259	1331	3788
260	1335	3781
261	1339	3773
262	1343	3764
263	1347	3755
264	1351	3747
265	1355	3739
266	1359	3732
267	1363	3724
268	1368	3717
269	1372	3710
270	1376	3702
271	1380	3693
272	1385	3688
273	1389	3681
274	1393	3673
275	1397	3664
276	1401	3657
277	1404	3648
278	1408	3640
279	1412	3631
280	1416	3625
281	1420	3616
282	1424	3608
283	1428	3600
284	1431	3592
285	1435	3584
286	1439	3576
287	1443	3567
288	1446	3559
289	1450	3551
290	1454	3543
291	1457	3534
292	1461	3527
293	1466	3520
294	1469	3512
295	1473	3504
296	1477	3496
297	1481	3488
298	1484	3480
299	1488	3472
300	1491	3464
301	1495	3456
302	1499	3449
303	1502	3441
304	1506	3433
305	1510	3425
306	1514	3418
307	1518	3410
308	1521	3402
309	1525	3394
310	1528	3387
311	1532	3380
312	1536	3373
313	1540	3366
314	1544	3358
315	1548	3351
316	1552	3344
317	1555	3336
318	1559	3328
319	1563	3321
320	1566	3314
321	1570	3306
322	1574	3299
323	1577	3291
324	1581	3285
325	1585	3277
326	1589	3270
327	1592	3262
328	1596	3256
329	1600	3249
330	1603	3241
331	1607	3234
332	1611	3227
333	1615	3220
334	1618	3213
335	1622	3206
336	1626	3199
337	1630	3192
338	1634	3186
339	1638	3179
340	1642	3173
341	1646	3166
342	1650	3160
343	1654	3154
344	1658	3148
345	1662	3143
346	1666	3136
347	1670	3129
348	1674	3124
349	1678	3117
350	1682	3111
351	1686	3105
352	1691	3099
353	1695	3093
354	1699	3087
355	1703	3080
356	1707	3075
357	1711	3068
358	1715	3062
359	1719	3056
360	1723	3050
361	1727	3044
362	1731	3038
363	1735	3032
364	1739	3026
365	1744	3021
366	1747	3014
367	1752	3008
368	1756	3003
369	1760	2997
370	1764	2992
371	1768	2986
372	1773	2980
373	1777	2974
374	1781	2968
375	1785	2962
376	1789	2957
377	1793	2951
378	1797	2945
379	1801	2939
380	1806	2934
381	1810	2928
382	1813	2922
383	1817	2916
384	1822	2911
385	1826	2905
386	1830	2899
387	1834	2893
388	1838	2888
389	1842	2882
390	1847	2876
391	1850	2870
392	1854	2864
393	1858	2859
394	1862	2853
395	1866	2847
396	1870	2841
397	1874	2835
398	1878	2829
399	1882	2823
400	1885	2817
401	1889	2811
402	1893	2804
403	1897	2798
404	1900	2792
405	1904	2787
406	1908	2781
407	1912	2775
408	1916	2769
409	1920	2763
410	1924	2758
411	1928	2752
412	1932	2746
413	1936	2741
414	1940	2735
415	1944	2729
416	1948	2723
417	1952	2718
418	1956	2712
419	1959	2706
420	1964	2701
421	1968	2695
422	1971	2689
423	1975	2683
424	1979	2678
425	1983	2672
426	1987	2666
427	1991	2661
428	1995	2655
429	1999	2650
430	2003	2644
431	2007	2639
432	2010	2633
433	2014	2627
434	2019	2622
435	2023	2617
436	2028	2612
437	2032	2607
438	2036	2602
439	2040	2596
440	2044	2591
441	2048	2586
442	2052	2580
443	2056	2575
444	2060	2570
445	2064	2564
446	2068	2559
447	2073	2554
448	2077	2548
449	2081	2543
450	2085	2538
451	2089	2532
452	2092	2526
453	2096	2521
454	2100	2516
455	2104	2510
456	2108	2505
457	2112	2499
458	2117	2495
459	2121	2490
460	2125	2485
461	2129	2479
462	2133	2474
463	2137	2469
464	2141	2463
465	2145	2458
466	2149	2453
467	2153	2447
468	2157	2442
469	2161	2437
470	2165	2432
471	2169	2426
472	2172	2420
473	2176	2415
474	2180	2410
475	2184	2404
476	2188	2399
477	2192	2393
478	2195	2388
479	2199	2382
480	2203	2377
481	2207	2372
482	2210	2366
483	2214	2361
484	2218	2355
485	2222	2350
486	2225	2344
487	2230	2339
488	2233	2334
489	2237	2329
490	2241	2324
491	2246	2319
492	2250	2314
493	2254	2309
494	2258	2303
495	2262	2298
496	2265	2293
497	2269	2288
498	2273	2282
499	2277	2277
500	2281	2272
501	2285	2267
502	2288	2261
503	2292	2256
504	2297	2251
505	2300	2246
506	2304	2240
507	2308	2235
508	2311	2230
509	2315	2225
510	2320	2220
511	2323	2214
512	2327	2209
513	2331	2204
514	2335	2198
515	2338	2193
516	2341	2187
517	2345	2182
518	2349	2177
519	2352	2171
520	2356	2166
521	2359	2161
522	2363	2155
523	2366	2150
524	2370	2144
525	2374	2139
526	2377	2134
527	2381	2128
528	2384	2123
529	2388	2118
530	2392	2112
531	2395	2107
532	2399	2102
533	2402	2096
534	2406	2091
535	2409	2086
536	2413	2080
537	2417	2075
538	2420	2070
539	2424	2065
540	2428	2060
541	2431	2055
542	2435	2049
543	2439	2044
544	2443	2039
545	2447	2034
546	2450	2029
547	2453	2024
548	2458	2019
549	2461	2014
550	2465	2008
